ano,0 pontos,1-25% do maximo,26-50% do maximo,51-75% do maximo,76-100% do maximo
2021,64.5,30.7,4.5,0.3,0.0
2022,63.6,31.7,4.4,0.3,0.0
2023,46.4,46.0,7.1,0.4,0.1
2024,31.6,25.5,40.0,2.9,0.1
2025,31.8,19.0,0.4,47.3,1.5
